Malankara Orthodox Syrian Church Medical College and Hospital (MOSC Medical College & Hospital),"Kolenchery, Ernakulam District, Kerala 682311,"
Msgr Joseph Kandathil Memorial Cancer Research Center (Prathyasa),"Green Gardens, Charthala, 688524, Kerala"
MVR Cancer Centre,"Chooloor, Calicut - 673601, Kerala"
Pallium India -Trivandrum Institute of Palliative Sciences (TIPS),"WHO Collaborating Centre, Pallium India, Arumana Hospital, Vallakadavu, P. O. 695008, Thiruvananthapuram"
Rajagiri Hospitals,"Chunangamvely, Aluva - 683 112, Kerala"
"Regional Cancer Centre, Thiruvananthapuram","Medical College Campus, Post Bag No. 2417, Thiruvananthapuram , Kerala 695 011"
Sree Gokulam Medical College and Research Foundation,"Sree Gokulam Medical College and Research Foundation,venjaramood, Thiruvananthapuram."
St. Gregorios International Cancer Care Centre,"Parumala, Thiruvalla, Pathanamthitta District, Kerala 689626"
St. Thomas Mission Hospital and Institute of medical Sciences (Meppallilkutthy Hospital),"Pallickal P.O. Kattanam, Alappuzha Dist, Kerala 490503"
"VPS Lakeshore Hospital, Cochin","Lakeshore Hospital and Research Centre Ltd, Ernakulam, Kerala - 682040"
Madhya Pradesh,
Bansal Hospital,"Cancer Unit, Bansal Hospital, Shahapura, Bhopal, Madhya Pradesh - 462016"
BIMR Oncology Centre,"Surya Mandir Road, Near Sun Temple, Morar, Gwalior, Madhya Pradesh 474005"
Cancer Hospital & Research Centre (RCC),"Cancer Hill Gwalior 474 009, Madhya Pradesh"
Career Institute of Medical Sciences and Cancer Research Institute,"Career College Campus, opp. Dusherra Maidan, Govindpura, (BHEL), Bhopal - 462023"
Chirayu Medical College,"Bhainsakhedi, Near Bairagarh, Bhopal-Indore Highway, Bhopal, Madhya Pradesh 462030"
Indian Institute of Head & Neck Oncology,"Indore Cancer Foundation, Pigdambar Road, Rau, Near Indian Institute of Management, Indore, Madhya Pradesh 453331"
Padhar Hospital,"P. O. Padhar, District Betul, Madhya Pradesh 460 005"
Priyamvada Birla Cancer Research Institute,"M. P. Birla Hospital, J. R. Birla Road, Post Birla Vikas, Satna 485005, Madhya Pradesh"
Shalby Hospital (Indore Division),"Part 5 & 6, Race Course Road , R S bhandari Marg, Janjeerwala Square, Indore-452003, Madhya Pradesh, India"
Sri Aurobindo Institute of Medical Sciences,"Indore - Ujjain State Highway, Near MR 10 Crossing, Indore, Madhya Pradesh 453555"
SRJ CBCC Cancer Center,"142, Phadnis Colony, A.B.Road, Near LIG Square, Indore, 452001"
Vidya Cancer Hospital,"Old High Ct Rd, near High Court, Maina Wali Gali, Dal Bazaar, Lashkar, Gwalior, Madhya Pradesh 474009"
Maharashtra,
Access Life Assistance Foundation,"Jollyland CHS, Bunglow no. 6, Ghatla Village Road, Chembur, East, Mumbai 400071"
Aditya Birla Memorial Hospital,"Aditya Birla Hospital Marg, P. O. Chinchwad, Pune 411 033"
All India Institute of Medical Sciences (AIIMS) Nagpur,"Plot no. 2, Sector 20, SEZ-MIHAN, Khapri, Nagpur, 441108"
Apollo Hospital,"Plot no.13, Parsik hill road, Off Uran road, Sector-23CBD Belapur, Navi Mumbai-400614"
Apple Saraswati Multispeciality Hospital,"804/2, 805/2 circuit house Kadamwadi Road, Bhosalewadi, Kolhapur 416003"
Asian Cancer Institute,"ACI-Cumballa Hill Hospital; 93-95 August Kranti Marg, Kemps Corner; Mumbai 400 036"
B. J. Govt. Medical College,"Jai Prakash Narayan Road, Near Pune Railway Station, Pune, Maharashtra 411 001"
Bai Jerbai Wadia Children Hospital,"Acharya Dande Marg, Parel, Mumbai 400012"
BhaktiVedanta Hospital and Research Institute,"Srishti Complex Bhaktivedanta Swami Marg, Mira Road, (east), Thane 401107"
BKL Walawalkar Rural Medical College and Hospital,"BKL Walawalkar Rural hospital, Sawarde,Kasarwadi, at post Sawarde, Taluka- Chiplun, Dist Ratanagiri"
Cancer Patients Aid Association (CPAA),"Dr. Vithaldas Parmar Research & Medical Centre, Unit No. 6, Sumer Kendra, Behind Mahindra Tower, Shivram Seth Amrutwar Road, Worli, Mumbai - 400 018"
"Cipla Palliative Care Centre, Pune","Cipla Palliative Care and Training Centre, Survey No. 118/1, Mumbai – Bangalore Highway Bypass, Warje, Pune – 411508"
Cuddles Foundations,"1101, 11th floor, Tower-B,Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai 400 013"
Deenanath Mangeshkar Hospital & Research Centre,"Near Mhatre Bridge, Erandawne Pune 411004"
Deepak Hospital,"Town Hall, Millat Nagar Jalna - 431203. Maharhastra, T"
"Dr Vikhe Patil Radiation and Cancer Centre, Dr Vikhe Patil Memorial Hospital","Opp. Shaskiya Dudh Dairy, Vilad ghat, Ahmednagar"
Dr. L. H Hiranandani Hospital,"Hill Side Avenue, Hiranandani Gardens, Powai, Mumbai - 400 076."
"Dr. Shankarrao Chavan Government Medical College, Nanded","Vishnupuri, Nanded, Maharashtra 431 606"
"Dr. V. M. Government Medical College, Solapur","Opp. District and Sessions Court, North Sadar Bazar, Solapur"
"Fortis Hospital Ltd., Mulund, Mumbai","Mulund - Goregaon Link Rd, Nahur West, Industrial Area, Bhandup West, Mumbai, Maharashtra 400078"
Garud Cancer Hospital (Yogesh Rural Cancer Research and Relief Society),"Savedi Road, Ahmednagar - 414 003, Maharashtra, India"
Getwel Clinic & Hospital,"Shivalaya, Plot no 6, Ashok nagar, Near Jawahar Nagar Police Station, Garkheda, Aurangabad - 431009"
"Gleneagles Hospitals -Super Speciality and Transplant Centre, Mumbai","(A unit for Digestive and Kidney Disease (India) Private ltd) 35, Dr E. Borges Road, Hospital Avenue, Opp. Shirodkar High Schools, Parel, Mumbai 400012, Maharashtra"
Government Medical College Latur,"Mataji Nagar, Moti Nagar, Latur , Maharashtra 413512"
"Government Medical College, Akola","Collector Office Road, Near Ashok Vatika, Akola, Maharashtra 440 001"
"Government Medical College, Aurangabad","Panchakki Road, Aurangabad 431 001"
"Government Medical College, Chandrapur","Govt. T B Hospital Campus, Ramnagar, Civil Line, Chandrapur, Maharashtra 442401"
"Government Medical College, Nagpur","Near Hanuman Nagar, Nagpur 440 009"
"Grant Government Medical College, Cama & Albless Hospitals, Mumbai","J. J.Marg, Nagpada -Mumbai Central, Off. Jijabhoy Road, Mumbai 400 008"
Gunvati Jagannath Kapoor Foundation,"7A Barodawala Mansion, 81 Dr Annie Besant Road, Worli, Mumbai 400018"
"HCG Cancer Centre, Borivali","Holy Cross Road, I C Colony of Borivali Dahisar, New Link Road, Borivali (West), Mumbai,  Maharashtra 400092"
HCG- ICS Khubchandani Cancer Centre,"Maharshi Karve Road, opp Cooperage Football Ground, Cooperage, Mumbai 400021"
ICICI Foundation for Inclusive Growth,"Head Office, ICICI Bank Towers, Bandra-Kurla Complex, Mumbai - 400 051, Maharashtra."
"Indian Cancer Society, Mumbai","National Head Quarters, 74, Jerbai Wadia Road, Parel, Mumbai 400012"
Indian Institue of Science Education and Research (IISER Pune),"Dr Homi Bhabha Marg, Pune 411008"
Indian Institute of Technology (IIT) Powai,"Department of Chemical Engineering, Powai, Mumbai 400 076, Maharashtra"
"Indira Gandhi Government Medical College, Nagpur","Central Avenue Road, Opp. Railway Station, Nagpur 440 008"
Indrayani Hospital and Cancer Institute,"Alandi- Chakan Rad, Alandi Devachi, Tal. Khed, Dist Pune"
