MoleculeType,Identifier,Uniprot ID,Protein Name,Gene Name
Proteins,P19784,P19784,CSNK2A2,CSNK2A2
Proteins,P67870,P67870,CSNK2B,CSNK2B
Proteins,P49674,P49674,CSNK1E,CSNK1E
Proteins,O14986,O14986,PIP5K1B,PIP5K1B
Proteins,Q9Y265,Q9Y265,RUVBL1,RUVBL1
Proteins,Q9Y4A5,Q9Y4A5,TRRAP,TRRAP
Proteins,Q92993,Q92993,KAT5,KAT5
Proteins,Q99879,Q99879,H2BC14,H2BC14
Proteins,Q96A08,Q96A08,H2BC1,H2BC1
Proteins,P58876,P58876,H2BC5,H2BC5
Proteins,Q93079,Q93079,H2BC9,H2BC9
Proteins,Q16778,Q16778,H2BC21,H2BC21
Proteins,P23527,P23527,H2BC17,H2BC17
Proteins,P57053,P57053,H2BC12L,H2BC12L
Proteins,Q99877,Q99877,H2BC15,H2BC15
Proteins,P62807,P62807,H2BC4,H2BC10 H2BC4 H2BC6 H2BC7 H2BC8
Proteins,P06899,P06899,H2BC11,H2BC11
Proteins,P33778,P33778,H2BC3,H2BC3
Proteins,O60814,O60814,H2BC12,H2BC12
Proteins,Q99880,Q99880,H2BC13,H2BC13
Proteins,Q8N257,Q8N257,H2BC26,H2BC26
Proteins,Q16695,Q16695,H3-4,H3-4
Proteins,P0C5Y9,P0C5Y9,H2AB1,H2AB1
Proteins,Q71UI9,Q71UI9,H2AZ2,H2AZ2
Proteins,P20671,P20671,H2AC7,H2AC7
Proteins,P16104,P16104,H2AX,H2AX
Proteins,Q9BTM1,Q9BTM1,H2AJ,H2AJ
Proteins,Q16777,Q16777,H2AC20,H2AC20
Proteins,Q93077,Q93077,H2AC6,H2AC6
Proteins,P04908,P04908,H2AC4,H2AC4 H2AC8
Proteins,Q6FI13,Q6FI13,H2AC18,H2AC18 H2AC19
Proteins,Q99878,Q99878,H2AC14,H2AC14
Proteins,P62805,P62805,H4C1,H4C1 H4C11 H4C12 H4C13 H4C14 H4C15 H4C16 H4C2 H4C3 H4C4 H4C5 H4C6 H4C8 H4C9
Proteins,O00512,O00512,BCL9,BCL9
Proteins,Q86UU0,Q86UU0,BCL9L,BCL9L
Proteins,Q9BRQ0,Q9BRQ0,PYGO2,PYGO2
Proteins,Q9Y3Y4,Q9Y3Y4,PYGO1,PYGO1
Proteins,O00255,O00255,MEN1,MEN1
Proteins,Q9UBL3,Q9UBL3,ASH2L,ASH2L
Proteins,Q15291,Q15291,RBBP5,RBBP5
Proteins,P61964,P61964,WDR5,WDR5
Proteins,Q9C005,Q9C005,DPY30,DPY30
Proteins,Q9UMN6,Q9UMN6,KMT2B,KMT2B
Proteins,Q6P1J9,Q6P1J9,CDC73,CDC73
Proteins,Q8WVC0,Q8WVC0,LEO1,LEO1
Proteins,P84243,P84243,H3-3A,H3-3A H3-3B
Proteins,P68431,P68431,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8
Proteins,Q71DI3,Q71DI3,H3C15,H3C13 H3C14 H3C15
Proteins,Q92793,Q92793,CREBBP,CREBBP
Proteins,Q09472,Q09472,EP300,EP300
Proteins,Q13761,Q13761,RUNX3,RUNX3
Proteins,P01106,P01106,MYC,MYC
Proteins,P51532,P51532,SMARCA4,SMARCA4
Proteins,O14746,O14746,TERT,TERT
Proteins,Q9UBT3,Q9UBT3,DKK4,DKK4
Proteins,Q9UBU2,Q9UBU2,DKK2,DKK2
Proteins,O94907,O94907,DKK1,DKK1
Proteins,O75197,O75197,LRP5,LRP5
Proteins,O75581,O75581,LRP6,LRP6
Proteins,Q96MU8,Q96MU8,KREMEN1,KREMEN1
Proteins,Q8NCW0,Q8NCW0,KREMEN2,KREMEN2
Proteins,Q96HF1,Q96HF1,SFRP2,SFRP2
Proteins,Q8N474,Q8N474,SFRP1,SFRP1
Proteins,Q9Y5W5,Q9Y5W5,WIF1,WIF1
Proteins,Q9BQB4,Q9BQB4,SOST,SOST
Proteins,Q76N89,Q76N89,HECW1,HECW1
Proteins,Q13618,Q13618,CUL3,CUL3
Proteins,Q53G59,Q53G59,KLHL12,KLHL12
Proteins,Q9NYF0,Q9NYF0,DACT1,DACT1
Proteins,O75473,O75473,LGR5,LGR5
Proteins,Q9HBX8,Q9HBX8,LGR6,LGR6
Proteins,Q9BXB1,Q9BXB1,LGR4,LGR4
Proteins,Q6UXX9,Q6UXX9,RSPO2,RSPO2
Proteins,Q2I0M5,Q2I0M5,RSPO4,RSPO4
Proteins,Q2MKA7,Q2MKA7,RSPO1,RSPO1
Proteins,Q9BXY4,Q9BXY4,RSPO3,RSPO3
Proteins,P40818,P40818,USP8,USP8
Proteins,Q68DV7,Q68DV7,RNF43,RNF43
Proteins,Q9ULT6,Q9ULT6,ZNRF3,ZNRF3
Proteins,P78368,P78368,CSNK1G2,CSNK1G2
Proteins,Q03135,Q03135,CAV1,CAV1
Proteins,Q9H2H0,Q9H2H0,CXXC4,CXXC4
Proteins,Q9P219,Q9P219,CCDC88C,CCDC88C
Proteins,Q9UN79,Q9UN79,SOX13,SOX13
Proteins,Q06945,Q06945,SOX4,SOX4
Proteins,Q9H6I2,Q9H6I2,SOX17,SOX17
Proteins,Q9Y3M2,Q9Y3M2,CBY1,CBY1
Proteins,Q9NSA3,Q9NSA3,CTNNBIP1,CTNNBIP1
Proteins,P63104,P63104,YWHAZ,YWHAZ
Proteins,O14980,O14980,XPO1,XPO1
Proteins,Q9HCK8,Q9HCK8,CHD8,CHD8
Proteins,P98170,P98170,XIAP,XIAP
Proteins,Q9BT81,Q9BT81,SOX7,SOX7
Proteins,P48431,P48431,SOX2,SOX2
Proteins,P48436,P48436,SOX9,SOX9
Proteins,P35712,P35712,SOX6,SOX6
Proteins,P41225,P41225,SOX3,SOX3
Proteins,Q05066,Q05066,SRY,SRY
Proteins,P31751,P31751,AKT2,AKT2
Proteins,P31749,P31749,AKT1,AKT1
